City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1328,Saanen,CH,50.85,scattered clouds,46.4896,7.2596,Alpine Lodge
1332,Realeza,BR,51.51,clear sky,-25.7689,-53.5325,Hotel Renascer
1335,Ludvika,SE,52.34,light rain,60.1496,15.1878,Ludvika Stadshotell
1338,Kwinana,AU,55.81,overcast clouds,-32.25,115.7667,Rockingham Apartments
1345,Plombieres,BE,58.26,scattered clouds,50.735,5.952999999999999,Aux Deux Coins Ronds
1355,Vredendal,ZA,50.22,clear sky,-31.6683,18.5012,Tharrakamma Guest House
1358,Bunbury,AU,48.81,overcast clouds,-33.3333,115.6333,Bunbury Hotel Koombana Bay
1363,Tres Arroyos,AR,40.23,clear sky,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
1385,Havre-Saint-Pierre,CA,55.26,broken clouds,50.2334,-63.5986,Auberge Niapiskau
1390,Taltal,CL,57.96,scattered clouds,-25.4,-70.4833,Residencial Karime
1392,Havoysund,NO,45.48,overcast clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
1410,Strezhevoy,RU,58.98,overcast clouds,60.7333,77.5889,Sibiryachka
1411,Bella Union,UY,48.13,clear sky,-30.2752,-57.6007,Hotel Oriente
1412,Uray,RU,58.46,clear sky,60.1247,64.7758,Hotel Pioner
1413,Brae,GB,48.11,overcast clouds,60.3964,-1.3530000000000002,Busta House Hotel
1427,Cabreuva,BR,55.94,broken clouds,-23.3075,-47.1328,Unahy Cabreúva
